loan_amount,interest_rate,tenure_months,borrower_income,credit_score,default,risk_segment
599342.8306022466,11.974465175076855,36,93057.14411555395,668.3180911353548,0,Subprime
472347.1397657631,13.566443987853447,24,130161.40646013024,648.4908083356893,0,Subprime
629537.7076201385,11.622740237000116,60,114007.19872367059,591.7522354798169,0,Subprime
804605.9712816051,13.07611541108288,60,64449.91970377742,565.9047765627055,1,High Risk
453169.3250553328,8.319155999138644,12,117959.47942971878,850.0,0,Low Risk
453172.6086101639,14.639881122118815,12,65642.75925462454,538.2743067025367,0,High Risk
815842.5631014783,14.003616426086673,36,66238.76391384922,644.5793148522707,0,Subprime
653486.9458305817,11.548734106795429,24,73742.2302219107,747.8067046525765,0,Low Risk
406105.1228130096,15.977737005297215,48,75164.0593301861,692.3245491942622,0,Prime
608512.0087171929,16.812710412879674,12,99841.08389558442,612.1171555235471,0,Subprime
407316.46143750753,9.177320406893077,48,59873.39792327584,554.628229156373,0,High Risk
406854.0492859486,11.711825664301358,48,106673.08335748932,660.382915460762,0,Subprime
548392.4543132068,11.692572950638105,24,106242.32249094412,438.8387800692095,0,High Risk
117343.9510684404,11.180290696673406,36,90288.90597333455,663.5893648316695,0,Subprime
155016.43349739345,16.488424525795246,24,138188.35725822335,652.7861269515632,0,Subprime
387542.49415180547,13.418521583681589,12,118621.77945974926,735.6097542821279,0,Prime
297433.7759331153,13.206455476068168,48,112091.87870601394,558.5328205532454,0,High Risk
562849.4665190547,7.98841290677974,24,81984.60123629755,624.1222880123147,0,Subprime
318395.1848957578,15.90625409062768,24,90552.98413442977,684.9521317470014,0,Prime
217539.2597329417,10.282224815439582,24,95714.22089263261,666.4454206962849,0,Subprime
793129.7537843108,14.179797890798985,12,80397.24120582816,542.5882802471665,0,High Risk
454844.73990269285,14.832130813874574,36,68732.91619074588,598.1998615692894,0,Subprime
513505.64093758474,18.08197578751595,24,15000.0,761.9929248185115,1,Low Risk
215050.36275730864,10.073538802642663,12,101532.96227374469,670.7461108232892,0,Prime
391123.4550949635,5.0,48,111243.41650650062,516.8707081618217,0,High Risk
522184.51794197323,14.551548634261085,60,45166.43431529492,720.6585717341869,0,Prime
269801.2845155394,19.401533544532562,12,98155.05949161475,522.0588219157776,1,High Risk
575139.6036691344,17.716839058818312,60,62254.19965047428,625.4383601909799,0,Subprime
379872.262016239,14.628978245823877,24,69004.1245277878,695.0621243661183,0,Prime
441661.25004134467,12.525091443103857,24,119322.8158209006,747.0964704014989,0,Low Risk
379658.6775541206,16.42136778991193,12,50280.968293579586,462.9660609871361,0,High Risk
870455.6369017875,11.079361400886594,60,50235.56633920339,706.9272085976559,0,Prime
497300.5550524132,15.429073308068658,24,134145.03096931992,718.9379712040374,0,Prime
288457.81420881994,15.51641047749988,48,75633.2990439085,605.4387625473496,0,Subprime
664508.9824206377,17.18062972249664,36,117396.36779693203,657.2727271547479,0,Subprime
255831.27000579555,22.278980116733234,36,32038.914145131967,405.84226181269247,1,High Risk
541772.719000951,15.177247901536301,24,34441.90191227441,430.1615748153671,1,High Risk
108065.97522404487,12.473109122877503,60,52611.664532647366,738.6826176006604,0,Prime
